Platform,Content type,Content,access
meta,image,facebook-feed,https://www.facebook.com/business/ads-guide/update/image/facebook-feed
meta,image,facebook-instream-video,https://www.facebook.com/business/ads-guide/update/image/facebook-instream-video
meta,image,facebook-video-feeds,https://www.facebook.com/business/ads-guide/update/image/facebook-video-feeds
meta,image,facebook-marketplace,https://www.facebook.com/business/ads-guide/update/image/facebook-marketplace
meta,image,facebook-story,https://www.facebook.com/business/ads-guide/update/image/facebook-story
meta,image,ads-on-facebook-reels,https://www.facebook.com/business/ads-guide/update/image/facebook-facebook-reels-overlay
meta,image,facebook-search,https://www.facebook.com/business/ads-guide/update/image/facebook-search
meta,image,facebook-biz-disco-feed,https://www.facebook.com/business/ads-guide/update/image/facebook-biz-disco-feed
meta,image,facebook-reels,https://www.facebook.com/business/ads-guide/update/image/facebook-facebook-reels
meta,image,instagram-profile-feed,https://www.facebook.com/business/ads-guide/update/image/instagram-profile-feed
meta,image,instagram-feed,https://www.facebook.com/business/ads-guide/update/image/instagram-feed
meta,image,instagram-story,https://www.facebook.com/business/ads-guide/update/image/instagram-story
meta,image,instagram-explore,https://www.facebook.com/business/ads-guide/update/image/instagram-explore
meta,image,instagram-explore-home,https://www.facebook.com/business/ads-guide/update/image/instagram-explore-home
meta,image,audience-network-native,https://www.facebook.com/business/ads-guide/update/image/audience-network-native
meta,image,audience-network-rewarded-video,https://www.facebook.com/business/ads-guide/update/image/audience-network-rewarded-video
meta,image,messenger-story,https://www.facebook.com/business/ads-guide/update/image/messenger-story
meta,image,facebook-right-hand-column,https://www.facebook.com/business/ads-guide/update/image/facebook-right-hand-column
meta,video,facebook-feed,https://www.facebook.com/business/ads-guide/update/video/facebook-feed
meta,video,facebook-instream-video,https://www.facebook.com/business/ads-guide/update/video/facebook-instream-video
meta,video,facebook-video-feeds,https://www.facebook.com/business/ads-guide/update/video/facebook-video-feeds
meta,video,facebook-story,https://www.facebook.com/business/ads-guide/update/video/facebook-story
meta,video,facebook-search,https://www.facebook.com/business/ads-guide/update/video/facebook-search
meta,video,facebook-biz-disco-feed,https://www.facebook.com/business/ads-guide/update/video/facebook-biz-disco-feed
meta,video,facebook-facebook-reels,https://www.facebook.com/business/ads-guide/update/video/facebook-facebook-reels
meta,video,instagram-profile-feed,https://www.facebook.com/business/ads-guide/update/video/instagram-profile-feed
meta,video,instagram-feed,https://www.facebook.com/business/ads-guide/update/video/instagram-feed
meta,video,instagram-story,https://www.facebook.com/business/ads-guide/update/video/instagram-story
meta,video,instagram-explore,https://www.facebook.com/business/ads-guide/update/video/instagram-explore
meta,video,instagram-reels,https://www.facebook.com/business/ads-guide/update/video/instagram-reels
meta,video,audience-network-native,https://www.facebook.com/business/ads-guide/update/video/audience-network-native
meta,video,audience-network-rewarded-video,https://www.facebook.com/business/ads-guide/update/video/audience-network-rewarded-video
meta,video,messenger-story,https://www.facebook.com/business/ads-guide/update/video/messenger-story
meta,video,facebook-right-hand-column,https://www.facebook.com/business/ads-guide/update/video/facebook-right-hand-column
meta,video,facebook-groups-feed,https://www.facebook.com/business/ads-guide/update/video/facebook-groups-feed
meta,video,instagram-shop,https://www.facebook.com/business/ads-guide/update/video/instagram-shop
meta,carousel,facebook-feed,https://www.facebook.com/business/ads-guide/update/carousel/facebook-feed
meta,carousel,facebook-video-feeds,https://www.facebook.com/business/ads-guide/update/carousel/facebook-video-feeds
meta,carousel,facebook-story,https://www.facebook.com/business/ads-guide/update/carousel/facebook-story
meta,carousel,facebook-marketplace,https://www.facebook.com/business/ads-guide/update/carousel/facebook-marketplace
meta,carousel,facebook-search,https://www.facebook.com/business/ads-guide/update/carousel/facebook-search
meta,carousel,facebook-biz-disco-feed,https://www.facebook.com/business/ads-guide/update/carousel/facebook-biz-disco-feed
meta,carousel,facebook-facebook-reels,https://www.facebook.com/business/ads-guide/update/carousel/facebook-facebook-reels
meta,carousel,instagram-profile-feed,https://www.facebook.com/business/ads-guide/update/carousel/instagram-profile-feed
meta,carousel,instagram-feed,https://www.facebook.com/business/ads-guide/update/carousel/instagram-feed
meta,carousel,instagram-story,https://www.facebook.com/business/ads-guide/update/carousel/instagram-story
meta,carousel,instagram-explore,https://www.facebook.com/business/ads-guide/update/carousel/instagram-explore
meta,carousel,audience-network-native,https://www.facebook.com/business/ads-guide/update/carousel/audience-network-native
meta,carousel,audience-network-rewarded-carousel,https://www.facebook.com/business/ads-guide/update/carousel/audience-network-rewarded-carousel
meta,carousel,messenger-story,https://www.facebook.com/business/ads-guide/update/carousel/messenger-story
meta,carousel,facebook-right-hand-column,https://www.facebook.com/business/ads-guide/update/carousel/facebook-right-hand-column
meta,carousel,facebook-groups-feed,https://www.facebook.com/business/ads-guide/update/carousel/facebook-groups-feed
meta,carousel,instagram-shop,https://www.facebook.com/business/ads-guide/update/carousel/instagram-shop
meta,collection,facebook-feed,https://www.facebook.com/business/ads-guide/update/collection/facebook-feed
meta,collection,facebook-video-feeds,https://www.facebook.com/business/ads-guide/update/collection/facebook-video-feeds
meta,collection,instagram-feed,https://www.facebook.com/business/ads-guide/update/collection/instagram-feed
meta,collection,instagram-story,https://www.facebook.com/business/ads-guide/update/collection/instagram-story
