Platform,Content type,Content,access
Linkedin,sponsored-content,single image ads,https://business.linkedin.com/marketing-solutions/success/ads-guide/single-image-ads
Linkedin,sponsored-content,video ads,https://business.linkedin.com/marketing-solutions/success/ads-guide/video-ads
Linkedin,sponsored-content,carousel ads,https://business.linkedin.com/marketing-solutions/success/ads-guide/carousel-ads
Linkedin,sponsored-content,event ads,https://business.linkedin.com/marketing-solutions/success/ads-guide/event-ads
Linkedin,sponsored-content,document ads,https://business.linkedin.com/marketing-solutions/success/ads-guide/document-ads
Linkedin,Sponsored Messaging,conversation ads,https://business.linkedin.com/marketing-solutions/success/ads-guide/conversation-ads
Linkedin,Lead Gen Forms,lead gen form,https://business.linkedin.com/marketing-solutions/success/ads-guide/lead-gen-forms
Linkedin,Text and Dynamic Ads,text ads,https://business.linkedin.com/marketing-solutions/success/ads-guide/text-ads
Linkedin,Text and Dynamic Ads,spotlight ads,https://business.linkedin.com/marketing-solutions/success/ads-guide/spotlight-ads
Linkedin,Text and Dynamic Ads,follower-ads,https://business.linkedin.com/marketing-solutions/success/ads-guide/follower-ads
